,Season,Juve Win,Juve Played,Juve Position,Inter Win,Inter Played,Inter Position,Milan Win,Milan Played,Milan Position
27,1926–27,17,28,3rd,15,28,5th,2,10,6th
28,1927–28,16,34,3rd,14,34,7th,10,20,4th
29,1927–28,16,34,3rd,14,34,7th,5,14,6th
30,1928–29,16,30,2nd,17,30,6th,18,30,2nd
31,1929–30,19,34,3rd,22,34,1st,11,34,11th
32,1930–31,25,34,1st,15,34,5th,12,34,12th
33,1931–32,24,34,1st,15,34,6th,15,34,4th
34,1932–33,25,34,1st,19,34,2nd,11,34,11th
35,1933–34,23,34,1st,20,34,2nd,12,34,9th
36,1934–35,18,30,1st,15,30,2nd,8,30,10th
37,1935–36,13,30,5th,14,30,4th,10,30,8th
38,1936–37,12,30,5th,9,30,7th,13,30,4th
39,1937–38,14,30,2nd,16,30,1st,13,30,3rd
40,1938–39,8,30,8th,14,30,3rd,10,30,9th
41,1939–40,15,30,3rd,20,30,1st,10,30,8th
42,1940–41,12,30,5th,14,30,2nd,12,30,3rd
43,1941–42,12,30,6th,7,30,12th,10,30,10th
44,1942–43,16,30,3rd,15,30,4th,10,30,6th
46,1945–46,22,40,2nd,23,40,4th,12,26,4th[L]
47,1945–46,22,40,2nd,23,40,4th,7,14,3rd
48,1946–47,22,38,2nd,13,38,10th,19,38,4th
49,1947–48,19,40,3rd,16,40,12th,21,40,2nd
50,1948–49,18,38,4th,22,38,2nd,21,38,3rd
51,1949–50,28,38,1st,21,38,3rd,27,38,2nd
52,1950–51,23,38,3rd,27,38,2nd,26,38,1st
53,1951–52,26,38,1st,21,38,3rd,20,38,2nd
54,1952–53,18,34,2nd,19,34,1st,17,34,3rd
55,1953–54,20,34,2nd,20,34,1st,17,34,3rd
56,1954–55,12,34,7th,13,34,8th,19,34,1st
57,1955–56,8,34,12th,16,34,3rd,16,34,2nd
58,1955–56,8,34,12th,16,34,3rd,16,34,2nd
59,1956–57,11,34,9th,11,34,5th,21,34,1st
60,1957–58,23,34,1st (10th title),10,34,11th,9,34,9th
61,1958–59,16,34,4th,20,34,3rd,20,34,1st
62,1959–60,25,34,1st,14,34,4th,17,34,3rd
63,1959–60,25,34,1st,14,34,4th,17,34,3rd
64,1960–61,22,34,1st,18,34,3rd,18,34,2nd
65,1961–62,10,34,13th,19,34,2nd,24,34,1st
66,1961–62,10,34,13th,19,34,2nd,24,34,1st
67,1962–63,18,34,2nd,19,34,1st,15,34,3rd
68,1962–63,18,34,2nd,19,34,1st,15,34,3rd
69,1963–64,14,34,5th,23,34,2nd,21,34,3rd
70,1963–64,14,34,5th,23,34,2nd,21,34,3rd
71,1964–65,15,34,4th,22,34,1st,21,34,2nd
72,1965–66,13,34,5th,20,34,1st,13,34,7th
73,1966–67,18,34,1st,19,34,2nd,11,34,8th
74,1966–67,18,34,1st,19,34,2nd,11,34,8th
75,1967–68,13,30,3rd,13,30,5th,18,30,1st
76,1968–69,12,30,5th,14,30,4th,14,30,3rd
77,1969–70,15,30,3rd,16,30,2nd,13,30,4th
78,1969–70,15,30,3rd,16,30,2nd,13,30,4th
79,1970–71,11,30,4th,19,30,1st,15,30,2nd
80,1971–72,17,30,1st,13,30,5th,16,30,2nd
81,1972–73,18,30,1st,15,30,5th,18,30,2nd
82,1973–74,16,30,2nd,12,30,4th,11,30,7th
83,1973–74,16,30,2nd,12,30,4th,11,30,7th
84,1974–75,18,30,1st,10,30,9th,12,30,5th
85,1975–76,18,30,2nd,14,30,4th,15,30,3rd
86,1976–77,23,30,1st,10,30,4th,5,30,10th
87,1977–78,15,30,1st,13,30,5th,12,30,4th
88,1978–79,12,30,3rd,10,30,4th,17,30,1st
89,1979–80,16,30,2nd,14,30,1st,14,30,3rd[U]
90,1980–81,17,30,1st,14,30,4th,18,38,1st
91,1981–82,19,30,1st(20th title),11,30,5th,7,30,14th
92,1982–83,15,30,2nd,12,30,3rd,19,38,1st
93,1983–84,17,30,1st,12,30,4th,10,30,6th
94,1984–85,11,30,6th,13,30,3rd,12,30,5th
95,1985–86,18,30,1st,12,30,6th,10,30,7th
96,1985–86,18,30,1st,12,30,6th,10,30,7th
97,1986–87,14,30,2nd,15,30,3rd,13,30,5th[V]
98,1987–88,11,30,6th,11,30,5th,17,30,1st
99,1988–89,15,34,4th,26,34,1st,16,34,3rd
100,1988–89,15,34,4th,26,34,1st,16,34,3rd
101,1989–90,15,34,4th,17,34,3rd,22,34,2nd
102,1989–90,15,34,4th,17,34,3rd,22,34,2nd
103,1989–90,15,34,4th,17,34,3rd,22,34,2nd
104,1990–91,13,34,7th,18,34,3rd,18,34,2nd
105,1990–91,13,34,7th,18,34,3rd,18,34,2nd
106,1990–91,13,34,7th,18,34,3rd,18,34,2nd
107,1991–92,18,34,2nd,10,34,8th,22,34,1st
108,1992–93,15,34,4th,17,34,2nd,18,34,1st
109,1992–93,15,34,4th,17,34,2nd,18,34,1st
110,1993–94,17,34,2nd,11,34,13th,19,34,1st
111,1993–94,17,34,2nd,11,34,13th,19,34,1st
112,1993–94,17,34,2nd,11,34,13th,19,34,1st
113,1993–94,17,34,2nd,11,34,13th,19,34,1st
114,1994–95,23,34,1st,14,34,6th,17,34,4th
115,1994–95,23,34,1st,14,34,6th,17,34,4th
116,1994–95,23,34,1st,14,34,6th,17,34,4th
117,1994–95,23,34,1st,14,34,6th,17,34,4th
118,1995–96,19,34,2nd,15,34,7th,21,34,1st
119,1996–97,17,34,1st,15,34,3rd,11,34,11th
120,1996–97,17,34,1st,15,34,3rd,11,34,11th
121,1997–98,21,34,1st,21,34,2nd,11,34,10th
122,1998–99,15,34,7th,13,34,8th,20,34,1st
123,2000–01,21,34,2nd,14,34,5th,12,34,6th
124,2001–02,20,34,1st,20,34,3rd,14,34,4th
125,2002–03,21,34,1st,19,34,2nd,18,34,3rd
126,2003–04,21,34,3rd,17,34,4th,25,34,1st
127,2003–04,21,34,3rd,17,34,4th,25,34,1st
128,2003–04,21,34,3rd,17,34,4th,25,34,1st
129,2003–04,21,34,3rd,17,34,4th,25,34,1st
130,2004–05,26,38,1st[47],18,38,3rd,23,38,2nd
131,2004–05,26,38,1st[47],18,38,3rd,23,38,2nd
132,2005–06,27,38,20th[48],23,38,1st[3],28,38,3rd
133,2006–07,28,42,1st,30,38,1st,19,38,4th
134,2007–08,20,38,3rd,25,38,1st,18,38,5th
135,2007–08,20,38,3rd,25,38,1st,18,38,5th
136,2007–08,20,38,3rd,25,38,1st,18,38,5th
137,2008–09,21,38,2nd,25,38,1st,22,38,3rd
138,2009–10,16,38,7th,24,38,1st,20,38,3rd
139,2010–11,15,38,7th,23,38,2nd,24,38,1st
140,2010–11,15,38,7th,23,38,2nd,24,38,1st
141,2011–12,23,38,1st,17,38,6th,24,38,2nd
142,2011–12,23,38,1st,17,38,6th,24,38,2nd
143,2012–13,27,38,1st,16,38,9th,21,38,3rd
144,2013–14,33,38,1st(30th title)5,15,38,5th,16,38,8th
145,2014–15,26,38,1st,14,38,8th,13,38,10th
146,2015–16,29,38,1st,20,38,4th,15,38,7th
147,2016–17,29,38,1st,19,38,7th,18,38,6th
148,2017–18,30,38,1st,20,38,4th,18,38,6th
149,2018–19,28,38,1st,20,38,4th,19,38,5th
150,2018–19,28,38,1st,20,38,4th,19,38,5th
151,2019–20,26,38,1st,24,38,2nd,19,38,6th
